school_name,school_city_name,school_composition,school_start_date,teacher_id,record_date,is_present,is_last_login,teacher_first_login_date
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,303432,2020-10-25,True,False,2020-10-25 10:19:59.624000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531443,2020-10-25,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531571,2020-10-25,False,False,2020-11-02 12:50:30.724000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,296935,2020-10-25,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,309318,2020-10-25,False,False,2020-11-05 09:22:35.236000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531507,2020-10-25,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,300440,2020-10-25,False,False,2020-10-26 12:24:47.835000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531475,2020-10-25,False,False,2020-11-03 11:47:15.436000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,300408,2020-10-25,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,302565,2020-10-25,False,False,2020-11-05 10:39:20.235000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531539,2020-10-25,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,306517,2020-10-25,True,False,2020-10-25 08:20:16.579000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531379,2020-10-25,False,False,2020-11-03 12:02:02.045000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531475,2020-10-26,False,False,2020-11-03 11:47:15.436000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,300408,2020-10-26,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531443,2020-10-26,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531379,2020-10-26,False,False,2020-11-03 12:02:02.045000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,303432,2020-10-26,True,False,2020-10-25 10:19:59.624000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,309318,2020-10-26,False,False,2020-11-05 09:22:35.236000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,302565,2020-10-26,False,False,2020-11-05 10:39:20.235000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,300440,2020-10-26,True,False,2020-10-26 12:24:47.835000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531539,2020-10-26,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,306517,2020-10-26,True,False,2020-10-25 08:20:16.579000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531507,2020-10-26,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531571,2020-10-26,False,False,2020-11-02 12:50:30.724000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,296935,2020-10-26,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531475,2020-10-27,False,False,2020-11-03 11:47:15.436000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,303432,2020-10-27,True,False,2020-10-25 10:19:59.624000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,300440,2020-10-27,False,False,2020-10-26 12:24:47.835000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,306517,2020-10-27,True,False,2020-10-25 08:20:16.579000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531443,2020-10-27,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531507,2020-10-27,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,300408,2020-10-27,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531571,2020-10-27,False,False,2020-11-02 12:50:30.724000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,296935,2020-10-27,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,309318,2020-10-27,False,False,2020-11-05 09:22:35.236000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531379,2020-10-27,False,False,2020-11-03 12:02:02.045000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,302565,2020-10-27,False,False,2020-11-05 10:39:20.235000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531539,2020-10-27,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531443,2020-10-28,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531475,2020-10-28,False,False,2020-11-03 11:47:15.436000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,302565,2020-10-28,False,False,2020-11-05 10:39:20.235000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,303432,2020-10-28,True,False,2020-10-25 10:19:59.624000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,306517,2020-10-28,True,False,2020-10-25 08:20:16.579000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531539,2020-10-28,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531379,2020-10-28,False,False,2020-11-03 12:02:02.045000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531571,2020-10-28,False,False,2020-11-02 12:50:30.724000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,309318,2020-10-28,False,False,2020-11-05 09:22:35.236000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531507,2020-10-28,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,300440,2020-10-28,True,False,2020-10-26 12:24:47.835000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,296935,2020-10-28,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,300408,2020-10-28,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531443,2020-10-29,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531507,2020-10-29,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531475,2020-10-29,False,False,2020-11-03 11:47:15.436000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,302565,2020-10-29,False,False,2020-11-05 10:39:20.235000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,300440,2020-10-29,False,False,2020-10-26 12:24:47.835000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,303432,2020-10-29,False,False,2020-10-25 10:19:59.624000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,300408,2020-10-29,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531539,2020-10-29,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531379,2020-10-29,False,False,2020-11-03 12:02:02.045000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,296935,2020-10-29,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,306517,2020-10-29,False,False,2020-10-25 08:20:16.579000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531571,2020-10-29,False,False,2020-11-02 12:50:30.724000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,309318,2020-10-29,False,False,2020-11-05 09:22:35.236000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,300440,2020-10-30,False,False,2020-10-26 12:24:47.835000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,306517,2020-10-30,False,False,2020-10-25 08:20:16.579000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531475,2020-10-30,False,False,2020-11-03 11:47:15.436000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531379,2020-10-30,False,False,2020-11-03 12:02:02.045000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,296935,2020-10-30,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,303432,2020-10-30,False,False,2020-10-25 10:19:59.624000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,309318,2020-10-30,False,False,2020-11-05 09:22:35.236000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531507,2020-10-30,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531571,2020-10-30,False,False,2020-11-02 12:50:30.724000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,300408,2020-10-30,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531443,2020-10-30,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531539,2020-10-30,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,302565,2020-10-30,False,False,2020-11-05 10:39:20.235000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,306517,2020-10-31,False,False,2020-10-25 08:20:16.579000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,296935,2020-10-31,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531571,2020-10-31,False,False,2020-11-02 12:50:30.724000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531475,2020-10-31,False,False,2020-11-03 11:47:15.436000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,300408,2020-10-31,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531379,2020-10-31,False,False,2020-11-03 12:02:02.045000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531443,2020-10-31,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531507,2020-10-31,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,309318,2020-10-31,False,False,2020-11-05 09:22:35.236000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531539,2020-10-31,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,302565,2020-10-31,False,False,2020-11-05 10:39:20.235000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,303432,2020-10-31,False,False,2020-10-25 10:19:59.624000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,300440,2020-10-31,True,False,2020-10-26 12:24:47.835000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,302565,2020-11-01,False,False,2020-11-05 10:39:20.235000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531571,2020-11-01,False,False,2020-11-02 12:50:30.724000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531379,2020-11-01,False,False,2020-11-03 12:02:02.045000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531507,2020-11-01,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531539,2020-11-01,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,306517,2020-11-01,True,False,2020-10-25 08:20:16.579000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531475,2020-11-01,False,False,2020-11-03 11:47:15.436000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,300408,2020-11-01,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,300440,2020-11-01,True,False,2020-10-26 12:24:47.835000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,309318,2020-11-01,False,False,2020-11-05 09:22:35.236000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531443,2020-11-01,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,296935,2020-11-01,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,303432,2020-11-01,True,False,2020-10-25 10:19:59.624000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,302565,2020-11-02,False,False,2020-11-05 10:39:20.235000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,303432,2020-11-02,True,False,2020-10-25 10:19:59.624000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,300408,2020-11-02,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,300440,2020-11-02,True,False,2020-10-26 12:24:47.835000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531507,2020-11-02,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,296935,2020-11-02,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531539,2020-11-02,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531443,2020-11-02,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,309318,2020-11-02,False,False,2020-11-05 09:22:35.236000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,306517,2020-11-02,True,False,2020-10-25 08:20:16.579000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531475,2020-11-02,False,False,2020-11-03 11:47:15.436000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531571,2020-11-02,True,False,2020-11-02 12:50:30.724000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531379,2020-11-02,False,False,2020-11-03 12:02:02.045000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,309318,2020-11-03,False,False,2020-11-05 09:22:35.236000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,306517,2020-11-03,True,False,2020-10-25 08:20:16.579000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531443,2020-11-03,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531379,2020-11-03,True,True,2020-11-03 12:02:02.045000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,302565,2020-11-03,False,False,2020-11-05 10:39:20.235000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,300440,2020-11-03,False,False,2020-10-26 12:24:47.835000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531539,2020-11-03,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,303432,2020-11-03,True,False,2020-10-25 10:19:59.624000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531571,2020-11-03,True,False,2020-11-02 12:50:30.724000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,296935,2020-11-03,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,300408,2020-11-03,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531507,2020-11-03,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531475,2020-11-03,True,True,2020-11-03 11:47:15.436000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,296935,2020-11-04,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531379,2020-11-04,False,False,2020-11-03 12:02:02.045000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,300440,2020-11-04,True,False,2020-10-26 12:24:47.835000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,309318,2020-11-04,False,False,2020-11-05 09:22:35.236000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531571,2020-11-04,True,False,2020-11-02 12:50:30.724000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531475,2020-11-04,False,False,2020-11-03 11:47:15.436000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,302565,2020-11-04,False,False,2020-11-05 10:39:20.235000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,306517,2020-11-04,True,False,2020-10-25 08:20:16.579000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531507,2020-11-04,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,303432,2020-11-04,True,False,2020-10-25 10:19:59.624000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531539,2020-11-04,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531443,2020-11-04,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,300408,2020-11-04,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531379,2020-11-05,False,False,2020-11-03 12:02:02.045000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531571,2020-11-05,True,True,2020-11-02 12:50:30.724000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,306517,2020-11-05,True,True,2020-10-25 08:20:16.579000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531443,2020-11-05,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,302565,2020-11-05,True,True,2020-11-05 10:39:20.235000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,300408,2020-11-05,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531507,2020-11-05,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,309318,2020-11-05,True,True,2020-11-05 09:22:35.236000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,303432,2020-11-05,True,True,2020-10-25 10:19:59.624000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531539,2020-11-05,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531475,2020-11-05,False,False,2020-11-03 11:47:15.436000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,296935,2020-11-05,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,300440,2020-11-05,True,True,2020-10-26 12:24:47.835000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,309318,2020-11-06,False,False,2020-11-05 09:22:35.236000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,303432,2020-11-06,False,False,2020-10-25 10:19:59.624000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531571,2020-11-06,False,False,2020-11-02 12:50:30.724000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,300408,2020-11-06,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531379,2020-11-06,False,False,2020-11-03 12:02:02.045000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531475,2020-11-06,False,False,2020-11-03 11:47:15.436000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531507,2020-11-06,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,296935,2020-11-06,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531539,2020-11-06,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,306517,2020-11-06,False,False,2020-10-25 08:20:16.579000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,302565,2020-11-06,False,False,2020-11-05 10:39:20.235000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,300440,2020-11-06,False,False,2020-10-26 12:24:47.835000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531443,2020-11-06,False,False,
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,300440,2020-11-07,False,False,2020-10-26 12:24:47.835000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,531379,2020-11-07,False,False,2020-11-03 12:02:02.045000
ABU DHABI_1373,ABU DHABI,MIXED,2020-10-21,306517,2020-11-07,False,False,2020-10-25 08:20:16.579000
